,importance
PetitjeanIndex,9.0
MATS5c,9.0
MDEC-22,9.0
GATS3Z,9.0
AATS4pe,9.0
GATS7d,9.0
ATSC6s,9.0
GATS2d,9.0
Xp-1dv,9.0
MATS2i,9.0
BCUTdv-1h,9.0
ATS0s,9.0
BCUT2D_MRLOW,9.0
ATSC5Z,9.0
SIC0,9.0
MATS4v,9.0
AATSC4pe,9.0
AATSC7Z,9.0
GATS2v,9.0
ATSC4se,9.0
AATS3d,8.0
JGI8,8.0
MATS2Z,8.0
Chi3v,8.0
AATSC8Z,8.0
AATS6d,8.0
ZMIC2,8.0
SMR_VSA4,8.0
AATS0Z,8.0
BCUT2D_LOGPHI,8.0
AETA_eta_F,8.0
AATS4v,8.0
GATS5se,8.0
ATSC4pe,8.0
GATS6dv,8.0
ATS6i,8.0
EState_VSA5,8.0
MATS8c,8.0
FpDensityMorgan1,8.0
ATSC3m,8.0
ATSC8i,8.0
AXp-6dv,8.0
AATS6Z,8.0
GATS3p,8.0
ATSC1c,8.0
Chi4n,8.0
AATSC4dv,8.0
AATSC8se,8.0
GATS2dv,8.0
ATSC7v,8.0
AATSC7c,8.0
GATS5Z,8.0
MATS3Z,8.0
ATSC6p,8.0
AMID_C,8.0
AATS8are,8.0
BCUT2D_MRHI,8.0
ATSC8dv,8.0
ATSC0p,8.0
GATS6m,8.0
AATS1i,7.0
BCUTZ-1l,7.0
AATSC8dv,7.0
MATS5dv,7.0
MATS4pe,7.0
ATSC0d,7.0
AXp-1dv,7.0
MATS2p,7.0
MATS1m,7.0
AATS5Z,7.0
PEOE_VSA6,7.0
AATS3dv,7.0
AATSC3are,7.0
AATSC4c,7.0
AATS2pe,7.0
AXp-3dv,7.0
Xpc-6dv,7.0
MATS2d,7.0
MolLogP,7.0
BalabanJ,7.0
MATS2v,7.0
ATSC2s,7.0
MATS7are,7.0
ATSC5se,7.0
ATSC1i,7.0
JGI10,7.0
ATSC8s,7.0
Ipc,7.0
AATS0dv,7.0
AATSC1se,7.0
TopoPSA,7.0
MAXsssCH,7.0
AXp-7dv,7.0
AATS5v,7.0
Kappa3,7.0
AATS4i,7.0
AATSC8i,7.0
AATSC5Z,7.0
AATS4dv,7.0
MATS7dv,7.0
ATSC8Z,7.0
AATSC7i,7.0
ETA_shape_p,6.0
ATSC7s,6.0
CIC2,6.0
fr_morpholine,6.0
AETA_eta_RL,6.0
MATS3dv,6.0
ETA_psi_1,6.0
Kier2,6.0
ATS8s,6.0
AATSC4se,6.0
AATS8i,6.0
AATSC5dv,6.0
GGI4,6.0
GATS8dv,6.0
MATS2dv,6.0
MATS6dv,6.0
CIC0,6.0
AXp-2dv,6.0
ATSC2se,6.0
AATS3v,6.0
GATS5i,6.0
Xch-7d,6.0
FilterItLogS,6.0
ATS0dv,6.0
GATS4s,6.0
AETA_eta_R,6.0
BCUTi-1l,6.0
SMR_VSA5,6.0
MID_h,6.0
AATSC8p,6.0
AXp-2d,6.0
ATSC2pe,6.0
ATSC5pe,6.0
MATS1p,6.0
SsssCH,6.0
GATS8v,6.0
ATSC4i,5.0
AATS0s,5.0
AXp-5d,5.0
GATS2i,5.0
ATSC2p,5.0
ATSC1v,5.0
ATSC8se,5.0
ATSC7p,5.0
FpDensityMorgan2,5.0
MAXsssN,5.0
ATSC2i,5.0
AATSC0pe,5.0
MinEStateIndex,5.0
AATS7Z,5.0
AATSC2pe,5.0
MZ,5.0
ATSC8v,5.0
AATSC3dv,5.0
EState_VSA2,5.0
SsCH3,5.0
AATSC1m,5.0
SpMAD_Dt,5.0
AATSC0v,5.0
ATSC6i,5.0
IC0,5.0
MATS6p,5.0
AATS7are,5.0
ATSC0pe,5.0
C1SP1,5.0
JGI7,5.0
ATSC6m,5.0
AATSC3v,5.0
AATS5dv,5.0
ATS8p,5.0
AATS6v,5.0
AATS5d,5.0
SIC1,5.0
GATS6v,5.0
GATS1i,5.0
ATSC1m,5.0
VSA_EState9,4.0
Mi,4.0
AETA_alpha,4.0
AXp-7d,4.0
VSA_EState6,4.0
VR2_A,4.0
SpMAD_A,4.0
AATS2dv,4.0
AATSC6m,4.0
AATS2i,4.0
ATSC1dv,4.0
AATSC6pe,4.0
GATS5dv,4.0
SpMAD_Dzp,4.0
ZMIC1,4.0
ATSC7i,4.0
NssCH2,4.0
MATS1se,4.0
AATSC1p,4.0
SRW07,4.0
AATS7d,4.0
IC1,4.0
ATSC1p,4.0
ATSC5v,4.0
GGI6,4.0
AATS6i,4.0
MWC04,4.0
IC5,4.0
AATSC0p,4.0
Xch-6d,4.0
EState_VSA7,3.0
AATS6dv,3.0
ATSC6d,3.0
AATSC7s,3.0
AETA_eta_FL,3.0
ATS8dv,3.0
SpDiam_A,3.0
ATS5d,3.0
GGI3,3.0
MATS3i,3.0
ATSC0s,3.0
GGI7,3.0
GATS5d,3.0
ATS7are,3.0
RotRatio,3.0
ATSC7are,3.0
ATS6dv,3.0
AATS1Z,3.0
AATSC6dv,3.0
ATSC6v,3.0
nBonds,3.0
AATSC7p,3.0
PEOE_VSA4,3.0
MAXaaCH,3.0
AATSC2s,3.0
ETA_dEpsilon_B,3.0
AvgIpc,3.0
AATSC0m,3.0
ATSC7Z,3.0
fMF,3.0
C2SP3,3.0
MIC0,3.0
MDEC-11,3.0
AXp-5dv,3.0
ATSC3v,3.0
SdsCH,3.0
AATS7v,3.0
SlogP_VSA6,3.0
FractionCSP3,2.0
TSRW10,2.0
SMR_VSA10,2.0
GATS7dv,2.0
NdssC,2.0
ATS3dv,2.0
AATS8v,2.0
NumRotatableBonds,2.0
EState_VSA6,2.0
AETA_beta,2.0
SMR_VSA9,2.0
SpDiam_Dt,2.0
AATS8dv,2.0
ATS8m,2.0
AATS1dv,2.0
ATS7dv,2.0
MAXdssC,2.0
HeavyAtomCount,2.0
SpAD_Dzi,2.0
AATSC7are,2.0
ETA_eta_B,2.0
MINdO,2.0
ATSC8d,2.0
ETA_epsilon_2,2.0
Xp-3d,2.0
Kier1,2.0
AATS7dv,2.0
VR3_A,2.0
MAXaasC,2.0
Xp-7d,2.0
AATS4d,2.0
SdO,2.0
GGI8,2.0
piPC8,1.0
MINssssC,1.0
SaasC,1.0
NumSaturatedRings,1.0
C1SP3,1.0
NsssCH,1.0
Mp,1.0
MAXssssC,1.0
HallKierAlpha,1.0
piPC1,1.0
MaxEStateIndex,1.0
VSA_EState1,1.0
AATSC1are,1.0
piPC6,1.0
NOCount,1.0
MAXdsCH,1.0
n8FRing,1.0
fr_piperdine,1.0
MDEC-33,1.0
ETA_beta,1.0
C3SP3,1.0
SssssC,1.0
SMR_VSA1,1.0
MATS6pe,1.0
SlogP_VSA3,1.0
AMID,1.0
VSA_EState10,1.0
AATS0p,1.0
SlogP_VSA12,1.0
NumHeterocycles,1.0
Xc-4dv,1.0
PEOE_VSA5,1.0
AATSC1dv,1.0
SlogP_VSA10,1.0
Xc-4d,1.0
AATS8d,1.0
GGI5,1.0
ETA_dAlpha_A,0.0
MDEN-13,0.0
nG12ARing,0.0
nBridgehead,0.0
MDEN-23,0.0
SaaS,0.0
nHBAcc,0.0
NumAmideBonds,0.0
SlogP_VSA7,0.0
MDEO-12,0.0
n10FHRing,0.0
MAXdsN,0.0
ETA_shape_x,0.0
NumSaturatedCarbocycles,0.0
GGI9,0.0
MAXaaS,0.0
MAXsNH2,0.0
MAXssNH,0.0
SddssS,0.0
MAXtN,0.0
fr_prisulfonamd,0.0
SMR_VSA2,0.0
n9FaHRing,0.0
fr_NH2,0.0
nAcid,0.0
NsI,0.0
NssO,0.0
SMR_VSA3,0.0
fr_oxime,0.0
n6ARing,0.0
nBondsD,0.0
ETA_dEpsilon_D,0.0
n5AHRing,0.0
fr_HOCCN,0.0
MINdssC,0.0
MAXaaO,0.0
Diameter,0.0
SsCl,0.0
NumAromaticHeterocycles,0.0
C1SP2,0.0
MINssO,0.0
MDEC-34,0.0
MDEO-22,0.0
SlogP_VSA11,0.0
fr_urea,0.0
SssssSi,0.0
NumSaturatedHeterocycles,0.0
NssssC,0.0
SlogP_VSA1,0.0
MINtsC,0.0
MAXssssSi,0.0
fr_sulfonamd,0.0
AETA_beta_ns_d,0.0
MAXsF,0.0
AMID_X,0.0
n6FRing,0.0
piPC10,0.0
fr_aldehyde,0.0
NdsssP,0.0
nBase,0.0
fr_COO,0.0
GGI2,0.0
MINsCl,0.0
fr_Ndealkylation2,0.0
nG12FaRing,0.0
Xch-4d,0.0
PEOE_VSA14,0.0
naRing,0.0
SdssC,0.0
n7FRing,0.0
NumAromaticCarbocycles,0.0
MPC8,0.0
MINaaCH,0.0
EState_VSA10,0.0
MINaaaC,0.0
TPSA,0.0
PEOE_VSA11,0.0
fr_para_hydroxylation,0.0
GGI1,0.0
n6Ring,0.0
PEOE_VSA12,0.0
nFaRing,0.0
MDEN-22,0.0
SM1_DzZ,0.0
MAXsCl,0.0
C2SP1,0.0
nS,0.0
Xch-3d,0.0
MINddssS,0.0
n4HRing,0.0
PEOE_VSA10,0.0
n7AHRing,0.0
MDEC-24,0.0
NumAtomStereoCenters,0.0
SRW03,0.0
NaasC,0.0
MDEN-33,0.0
n6HRing,0.0
SlogP_VSA8,0.0
PEOE_VSA3,0.0
nARing,0.0
fr_methoxy,0.0
nG12FRing,0.0
MINssS,0.0
fr_piperzine,0.0
NumAliphaticCarbocycles,0.0
nRing,0.0
fr_alkyl_halide,0.0
n10FRing,0.0
NtCH,0.0
NumSpiroAtoms,0.0
fr_aniline,0.0
fr_epoxide,0.0
SaaaC,0.0
fr_sulfide,0.0
fr_Al_OH_noTert,0.0
fr_aryl_methyl,0.0
EState_VSA1,0.0
NaaO,0.0
fr_bicyclic,0.0
fr_sulfone,0.0
Xch-5dv,0.0
n9AHRing,0.0
fr_thiocyan,0.0
fr_C_O,0.0
NsBr,0.0
n9FHRing,0.0
SM1_Dzse,0.0
MINdCH2,0.0
piPC4,0.0
MDEC-44,0.0
MDEO-11,0.0
MINtCH,0.0
fr_hdrzone,0.0
MAXsBr,0.0
PEOE_VSA13,0.0
ETA_beta_ns,0.0
MINsBr,0.0
MID_X,0.0
SssNH,0.0
NdCH2,0.0
NumHDonors,0.0
fr_hdrzine,0.0
n9FRing,0.0
GGI10,0.0
MDEC-14,0.0
NdsN,0.0
nFAHRing,0.0
C3SP2,0.0
NsssN,0.0
MAXssO,0.0
fr_allylic_oxid,0.0
n9FARing,0.0
MDEN-11,0.0
fr_Ndealkylation1,0.0
fr_ketone_Topliss,0.0
n10FaRing,0.0
n5HRing,0.0
n9FAHRing,0.0
Xc-6d,0.0
C4SP3,0.0
SsOH,0.0
ETA_dPsi_B,0.0
fr_unbrch_alkane,0.0
NsF,0.0
SM1_Dzi,0.0
n8Ring,0.0
MAXsOH,0.0
